epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,31007.4,1.48203,0.94996,0.92612,0.8398,0.65824,0.73444,0.53251,1.44041,0.92227,0.92965,9.51384e-05,9.51384e-05,9.51384e-05
129,31261,1.4612,0.93363,0.92288,0.8228,0.67216,0.73912,0.53184,1.44165,0.91385,0.92894,9.12576e-05,9.12576e-05,9.12576e-05
130,31468.9,1.44697,0.93086,0.9216,0.82962,0.67228,0.73895,0.53306,1.44164,0.92017,0.93034,8.73768e-05,8.73768e-05,8.73768e-05
131,31773.6,1.46652,0.94157,0.9242,0.82735,0.67339,0.73615,0.53162,1.43353,0.92327,0.92813,8.3496e-05,8.3496e-05,8.3496e-05
132,32087.9,1.47271,0.94203,0.92332,0.82332,0.66677,0.73689,0.53251,1.4287,0.91544,0.92778,7.96152e-05,7.96152e-05,7.96152e-05
133,32385.5,1.45207,0.93173,0.92059,0.81829,0.66812,0.73474,0.53462,1.43206,0.91588,0.92694,7.57344e-05,7.57344e-05,7.57344e-05
134,32701.8,1.46369,0.93899,0.92182,0.82273,0.66715,0.73544,0.53537,1.42433,0.91415,0.9264,7.18536e-05,7.18536e-05,7.18536e-05
135,32939.8,1.46632,0.94006,0.92027,0.80252,0.6768,0.73718,0.53867,1.42502,0.90815,0.92591,6.79728e-05,6.79728e-05,6.79728e-05
136,33159.9,1.47389,0.93814,0.92467,0.8445,0.66589,0.73831,0.53952,1.41963,0.91234,0.92578,6.4092e-05,6.4092e-05,6.4092e-05
137,33384,1.47213,0.94191,0.92082,0.81849,0.66928,0.73911,0.53633,1.42994,0.91293,0.92669,6.02112e-05,6.02112e-05,6.02112e-05
138,33614.4,1.43037,0.92077,0.92213,0.81399,0.66876,0.74079,0.54316,1.42221,0.91018,0.92602,5.63304e-05,5.63304e-05,5.63304e-05
139,33799.3,1.45067,0.92136,0.91947,0.83557,0.67179,0.7407,0.53664,1.42667,0.90519,0.92567,5.24496e-05,5.24496e-05,5.24496e-05
140,34137.6,1.44899,0.92689,0.91878,0.85131,0.66047,0.7405,0.5388,1.42828,0.90865,0.92638,4.85688e-05,4.85688e-05,4.85688e-05
141,34275.8,1.48047,0.95419,0.92788,0.85351,0.63888,0.73351,0.52768,1.4387,0.93445,0.9307,4.4688e-05,4.4688e-05,4.4688e-05
142,34398.6,1.47227,0.95326,0.92559,0.82058,0.66156,0.73559,0.53065,1.43998,0.93381,0.93091,4.08072e-05,4.08072e-05,4.08072e-05
143,34522.6,1.4448,0.92712,0.92106,0.82303,0.66251,0.73665,0.52786,1.44396,0.93335,0.93167,3.69264e-05,3.69264e-05,3.69264e-05
144,34677.3,1.44842,0.91483,0.92062,0.80746,0.67773,0.73877,0.52899,1.44553,0.92663,0.93087,3.30456e-05,3.30456e-05,3.30456e-05
145,34798.9,1.44442,0.91679,0.91958,0.82269,0.66555,0.73785,0.5344,1.43371,0.92553,0.929,2.91648e-05,2.91648e-05,2.91648e-05
146,34925.9,1.44149,0.91825,0.91854,0.81994,0.66618,0.73733,0.5346,1.42854,0.92066,0.92795,2.5284e-05,2.5284e-05,2.5284e-05
147,35062.8,1.44775,0.92019,0.91793,0.82237,0.665,0.73777,0.53626,1.43314,0.92065,0.9277,2.14032e-05,2.14032e-05,2.14032e-05
148,35174.7,1.43172,0.90731,0.91769,0.81862,0.66642,0.73989,0.53475,1.43586,0.919,0.92819,1.75224e-05,1.75224e-05,1.75224e-05
149,35321.5,1.43071,0.90583,0.9181,0.81679,0.6745,0.74056,0.53672,1.43024,0.91723,0.92689,1.36416e-05,1.36416e-05,1.36416e-05
150,35457.4,1.43795,0.905,0.91341,0.80642,0.67716,0.73847,0.53483,1.4337,0.91931,0.92831,9.7608e-06,9.7608e-06,9.7608e-06
